,title,artist
0,Mood,24kGoldn Featuring iann dior
1,Therefore I Am,Billie Eilish
2,Positions,Ariana Grande
3,I Hope,Gabby Barrett Featuring Charlie Puth
4,Laugh Now Cry Later,Drake Featuring Lil Durk
5,Holy,Justin Bieber Featuring Chance The Rapper
6,Blinding Lights,The Weeknd
7,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
8,Dakiti,Bad Bunny & Jhay Cortez
9,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
10,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
11,Go Crazy,Chris Brown & Young Thug
12,Kings & Queens,Ava Max
13,Dynamite,BTS
14,More Than My Hometown,Morgan Wallen
15,WAP,Cardi B Featuring Megan Thee Stallion
16,Rockstar,DaBaby Featuring Roddy Ricch
17,Before You Go,Lewis Capaldi
18,Be Like That,Kane Brown With Swae Lee & Khalid
19,Levitating,Dua Lipa Featuring DaBaby
20,Watermelon Sugar,Harry Styles
21,Hawai,Maluma & The Weeknd
22,ily,surf mesa Featuring Emilee
23,Bang!,AJR
24,Starting Over,Chris Stapleton
25,Lonely,Justin Bieber & benny blanco
26,34+35,Ariana Grande
27,Said Sum,Moneybagg Yo
28,All I Want For Christmas Is You,Mariah Carey
29,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
30,Drankin N Smokin,Future & Lil Uzi Vert
31,What You Know Bout Love,Pop Smoke
32,One Of Them Girls,Lee Brice
33,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson
34,Love You Like I Used To,Russell Dickerson
35,Pretty Heart,Parker McCollum
36,Holiday,Lil Nas X
37,Happy Anywhere,Blake Shelton Featuring Gwen Stefani
38,Better Together,Luke Combs
39,Forever After All,Luke Combs
40,Got What I Got,Jason Aldean
41,"Big, Big Plans",Chris Lane
42,Rockin' Around The Christmas Tree,Brenda Lee
43,Wonder,Shawn Mendes
44,pov,Ariana Grande
45,Stripes Like Burberry,Future & Lil Uzi Vert
46,Come & Go,Juice WRLD x Marshmello
47,Diamonds,Sam Smith
48,Adore You,Harry Styles
49,That's It,Future & Lil Uzi Vert
50,You Broke Me First.,Tate McRae
51,I Should Probably Go To Bed,Dan + Shay
52,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch
53,Real Baby Pluto,Future & Lil Uzi Vert
54,Ain't Always The Cowboy,Jon Pardi
55,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake
56,Iris,Phoebe & Maggie
57,Franchise,Travis Scott Featuring Young Thug & M.I.A.
58,My Ex's Best Friend,Machine Gun Kelly X blackbear
59,Took Her To The O,King Von
60,Mood Swings,Pop Smoke Featuring Lil Tjay
61,B.S.,Jhene Aiko Featuring H.E.R.
62,7 Summers,Morgan Wallen
63,Marni On Me,Future & Lil Uzi Vert
64,Midnight Sky,Miley Cyrus
65,Tyler Herro,Jack Harlow
66,Million Dollar Play,Future & Lil Uzi Vert
67,Sleeping On The Floor,Future & Lil Uzi Vert
68,Throat Baby (Go Baby),BRS Kash
69,Don't Stop,Megan Thee Stallion Featuring Young Thug
70,Good Time,Niko Moon
71,Hole In The Bottle,Kelsea Ballerini
72,U 2 Luv,Ne-Yo & Jeremih
73,Blind,DaBaby Featuring Young Thug
74,So Done,The Kid LAROI
75,Hit Different,SZA Featuring Ty Dolla $ign
76,Golden,Harry Styles
77,Champagne Night,Lady A
78,Some Girls,Jameson Rodgers
79,Martin & Gina,Polo G
80,Whoopty,CJ
81,Everywhere But On,Matt Stell
82,Popstar,DJ Khaled Featuring Drake
83,Wishing Well,Juice WRLD
84,What's Your Country Song,Thomas Rhett
85,Plastic,Future & Lil Uzi Vert
86,Put Your Records On,Ritt Momney
87,Heather,Conan Gray
88,24,Money Man Featuring Lil Baby
89,Happy Does,Kenny Chesney
90,Runnin,21 Savage & Metro Boomin
91,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko"
92,Beers And Sunshine,Darius Rucker
93,Take You Dancing,Jason Derulo
94,La Toxica,Farruko
95,Tap In,Saweetie
96,Rockstar Chainz,Future
97,Kacey Talk,YoungBoy Never Broke Again
98,Practice,DaBaby
99,Bought A Bad Bitch,Future & Lil Uzi Vert
